ESSAY_ID,REAL_SCORE,PRED_SCORE
ESSAY_62656,71.45238095238095,76.8295238095238
ESSAY_54719,66.87428571428572,63.17333333333333
ESSAY_38083,83.02666666666667,77.86285714285714
ESSAY_47412,70.47999999999999,67.00666666666666
ESSAY_41754,79.39333333333335,54.99904761904762
ESSAY_41756,76.75333333333333,60.323809523809516
ESSAY_39645,72.13333333333334,76.64761904761905
ESSAY_40848,74.94095238095238,63.597142857142856
ESSAY_45388,66.97904761904763,74.06952380952382
ESSAY_35752,39.526666666666664,50.54761904761905
ESSAY_62988,79.94857142857143,89.35428571428571
ESSAY_41580,87.87904761904761,67.42
ESSAY_38451,75.52761904761905,88.27238095238094
ESSAY_40456,47.126666666666665,59.76380952380953
ESSAY_57225,96.47999999999999,75.88952380952381
ESSAY_45084,83.03904761904762,75.02761904761905
ESSAY_45056,78.71238095238095,81.75428571428571
ESSAY_47662,70.46761904761904,79.7095238095238
ESSAY_48687,95.72571428571429,88.43238095238095
ESSAY_45776,88.63333333333334,77.57619047619048
ESSAY_57135,66.12,77.00285714285715
ESSAY_40934,86.4857142857143,66.79333333333332
ESSAY_38090,87.38666666666666,79.00761904761904
ESSAY_62633,71.17999999999999,73.8047619047619
ESSAY_62625,83.72,81.04285714285714
ESSAY_45566,79.17333333333333,79.42285714285715
ESSAY_45054,86.60095238095239,75.34285714285714
ESSAY_33515,88.14095238095238,89.44761904761904
ESSAY_50277,55.80666666666667,67.87333333333333
ESSAY_46184,78.88,71.04285714285714
ESSAY_45765,83.86666666666666,83.56761904761905
ESSAY_40724,98.16666666666666,89.7942857142857
ESSAY_62818,89.12571428571428,88.39619047619048
ESSAY_40452,56.966666666666676,73.55809523809523
ESSAY_45773,75.69333333333334,61.4152380952381
ESSAY_62660,78.85904761904762,82.06095238095239
ESSAY_62644,68.48761904761905,56.49523809523809
ESSAY_39651,79.61333333333334,85.50095238095238
ESSAY_57142,84.99809523809525,86.04095238095239
ESSAY_62662,67.67714285714285,70.5895238095238
ESSAY_39137,72.34095238095239,64.94666666666667
ESSAY_52794,65.65904761904761,75.47142857142858
ESSAY_66714,54.10666666666667,80.77619047619048
ESSAY_53446,56.88095238095239,74.07619047619048
ESSAY_66222,49.760000000000005,68.91142857142856
ESSAY_40140,52.83428571428571,71.61333333333334
ESSAY_41749,82.27428571428571,63.60857142857143
ESSAY_47700,60.73333333333333,67.57333333333334
ESSAY_45880,85.29142857142857,84.45238095238095
ESSAY_45064,81.02761904761905,54.61714285714286
ESSAY_40932,89.95333333333333,81.69428571428571
ESSAY_52891,60.187619047619044,69.88666666666666
ESSAY_53375,62.28666666666667,73.38952380952381
ESSAY_33552,66.17238095238095,79.95238095238095
ESSAY_45747,83.23809523809524,70.07333333333334
ESSAY_79888,59.839999999999996,74.92952380952381
ESSAY_45597,53.46380952380953,48.88761904761905
ESSAY_45066,81.74,66.06666666666666
ESSAY_79893,59.23333333333333,59.37714285714285
ESSAY_54724,74.40666666666667,69.17809523809524
ESSAY_45596,68.41428571428571,65.28666666666666
ESSAY_62669,84.96666666666667,71.54285714285714
ESSAY_39653,62.73333333333333,67.95142857142858
ESSAY_45075,93.34761904761905,82.00952380952381
ESSAY_47084,60.1504761904762,78.74761904761905
ESSAY_39712,45.06952380952381,61.68857142857142
ESSAY_50255,69.49333333333334,77.12952380952382
ESSAY_41762,92.76095238095238,69.63142857142857
